name,description,url
40 Winks: Better Sleep Made Easy,Achieve your optimal sleep experience with personalized recommendations based on your specific situation.,https://programs.clearerthinking.org/40_winks.html
Achieve Your Goals,Build a step-by-step plan for your chosen goal and set milestone reminders to track your progress.,https://programs.clearerthinking.org/achieve_your_goals.html
Artificial Intelligence Quiz,Understand AI risks and test your knowledge of some of the risks it poses!,https://programs.clearerthinking.org/artificial_intelligence_quiz.html
Astrology Challenge,We tested the predictive power of astrology. Professional astrologers couldn't beat our test. Can you?,https://programs.clearerthinking.org/astrology_challenge.html
Become A Great Listener,"Learn about Active Listening — a powerful skill used by therapists, hostage negotiators, and helpline responders to foster connection.",https://programs.clearerthinking.org/become_a_great_listener.html
Biosafety Quiz,"Uncover the history of pandemics, test your biosafety knowledge, and learn essential steps to safeguard humanity's future.",https://programs.clearerthinking.org/biosafety_quiz.html
Boost Your Productivity,"Craft a productivity system that works for you. Apply our tested formula to optimize your time, efficiency, and output.",https://programs.clearerthinking.org/boost_your_productivity.html
Building Happiness Habits,Pair these tried and tested happiness techniques with simple activity triggers to rapidly improve your day-to-day experience.,https://programs.clearerthinking.org/building_happiness_habits.html
Calibrate Your Judgment,Sharpen your numerical calibration with thousands of tailored question sets. Track your progress over time to see how you improve!,https://www.openphilanthropy.org/calibration?fromClearerThinking=1
Can You Detect Weak Arguments?,Find out how well you can spot misleading rhetoric and recognize your own bias using real-world examples.,https://programs.clearerthinking.org/can_you_detect_weak_arguments.html
Career Fulfillment Diagnostic,"Find fulfillment in your career using the Japanese concept of Ikigai — your ""reason for getting up in the morning.""",https://programs.clearerthinking.org/career_fulfillment_diagnostic.html
Change Behavior for the Better,"Transform your habits using the ""Ten Conditions for Change"" framework, guiding you through every step for lasting improvement.",https://programs.clearerthinking.org/change_behavior.html
Charity Effectiveness,"See if you can guess which social interventions had a positive effect, a negative effect, or no effect.",https://programs.clearerthinking.org/can_you_guess_which_charities_work.html
Clearer Thinking Paths,"Receive a custom itinerary of educational modules tailored to your personal needs, interests, and goals.",https://programs.clearerthinking.org/create_your_custom_clearer_thinking_plan.html
Cognitive Assessment,Uncover your cognitive strengths and understand where your intellectual strengths and weaknesses lie.,https://programs.clearerthinking.org/cognitive-test-intro.html
Credentialist Test,Do you care about formal qualifications? Find out where you fall on the Credentialist to Non-Credentialist spectrum.,https://programs.clearerthinking.org/credentialist_test.html
Daily Ritual: A Habit Creation System,Develop a customized habit-formation strategy in three simple steps to improve your daily routine.,https://programs.clearerthinking.org/daily_ritual.html
Defining Emotions,"Explore the meaning behind the words we use for emotions and their physical sensations, so you can better express your feelings.",https://programs.clearerthinking.org/defining_emotions.html
Design Your Own Self-Experiment,Devise informal experiments to improve your everyday experience and personal routines.,https://programs.clearerthinking.org/design_your_own_self_experiment.html
Effective Trust Repair,Learn how to repair your relationships by constructing or requesting effective apologies.,https://programs.clearerthinking.org/effective_trust_repair.html
Emotional Obstacles to Doing Good,Want to make the world better? Emotions can either help or hold you back. Understand and manage them to maximize your impact.,https://programs.clearerthinking.org/emotional_obstacles_to_doing_good.html
Enhancing Creativity,Learn simple techniques to form new creative habits and applications.,https://programs.clearerthinking.org/enhancing_creativity.html
Explanation Freeze,How do you interpret uncertain events? This mini-course teaches you how to look past your first explanation and get closer to the truth.,http://programs.clearerthinking.org/explanation_freeze.html
Fail-Safing Your Plans,"Use the ""Prospective Hindsight"" technique to think through your future plans with greater depth and clarity.",https://programs.clearerthinking.org/fail-safing_your_plans.html
Faulty Reasoning Quiz,Can you spot bad reasoning? Learn about five types of faulty arguments and see how well you can spot them!,https://programs.clearerthinking.org/faulty_reasoning_quiz.html
Flexible Thinking,"Learn a flexible thinking technique to help when you find yourself stressed, upset, or not thinking as clearly or objectively as you'd like.",https://programs.clearerthinking.org/flexible_thinking.html
Gender Continuum Test,"Explore the connection between gender and personality, drawing on data from 15,000+ people, and learn something new about yourself.",https://programs.clearerthinking.org/gender_continuum_test.html
Get Going: Overcome Procrastination,Tips for being more productive for those who frequently procrastinate on personal or professional projects.,https://programs.clearerthinking.org/overcome_procrastination.html
Guess Which Experiments Replicate,Can you guess which high-profile experiments were legit?,https://80000hours.org/psychology-replication-quiz/?fromClearerThinking=1
Have Better Conversations with Yourself,Meet and befriend the parts of yourself that drive you. Understand your internal conflicts more clearly with the internal family systems model.,https://programs.clearerthinking.org/internal_family_systems.html
How Airtight Are Your Estimates?,Are your guesses truly independent? Or is it possible that you're being manipulated by irrelevant information without your knowledge?,https://programs.clearerthinking.org/how_well_anchored_are_your_estimates.html
How Other People Can Make You Irrational,"Discover how the social aspects of our lives cause us to act in all sorts of irrational ways, and what you can do about it!",https://programs.clearerthinking.org/social_biases.html
"How Rational Are You, Really?","Learn which of 16 reasoning styles you use, your overall level of rationality, and what you can do now to improve your rationality skills.",https://programs.clearerthinking.org/how_rational_are_you_really_take_the_test.html
Improve Your Frequency Predictions,Test your ability to estimate the frequency of events and compare your scores to others.,https://programs.clearerthinking.org/improve_your_frequency_predictions.html
Is It A Cult? (The Cult Assessment Tool),Discover whether you or someone you know might be in a harmful cult.,https://programs.clearerthinking.org/cult_assessment.html
Is Your Memory Like A Photograph?,Discover whether you retain a faithful representation of the events you witness with two quick memory tests.,https://programs.clearerthinking.org/is_your_memory_like_a_photograph.html
Kind and Effective Communication (NVC),Learn the techniques of Non-Violent Communication (NVC) to build stronger relationships.,https://programs.clearerthinking.org/kind_and_effective_communication.html
Learn Your Philosophical Beliefs,Discover your philosophical beliefs and whether they are predicted by your psychological traits.,https://programs.clearerthinking.org/philosophical_beliefs.html
Learning From Mistakes,Learning from mistakes is challenging. Rebound from mistakes and grow stronger with our structured approach.,https://programs.clearerthinking.org/mistakes.html
Leaving Your Mark on the World,Have a greater impact on the world by understanding the essential principles of doing the most good.,https://programs.clearerthinking.org/how_to_do_more_good.html
Life Changing Questions,"Answer these open-ended questions (alone or with others) to learn new, important insights about yourself.",https://programs.clearerthinking.org/lcq.html
Lifetime Aspirations,Create a life-improvement plan that will become your road map for achieving your most important goals.,https://programs.clearerthinking.org/life_assessment.html
Long-Term Future Quiz,Discover what opportunities may await humanity if we avoid disasters like nuclear war and climate change. ,https://programs.clearerthinking.org/long-term_future_quiz.html
Make Your Work More Joyful,"Work out in which areas you can improve your work experience, and make a plan to do it.",https://programs.clearerthinking.org/make_your_work_more_joyful.html
Managing Arguments in Relationships,Learn how to navigate arguments effectively and kindly using a situation of your choosing.,https://programs.clearerthinking.org/managing_arguments.html
Mental Traps,Understand cognitive biases (the systematic thinking errors that affect your decisions) and learn how to recognize them in everyday life.,https://programs.clearerthinking.org/introduction.html
Mood Boosters,Brighten your disposition fast with scientifically-tested exercises that can improve your mood and dispel the blues.,https://programs.clearerthinking.org/moodboosters.html
Nuanced Thinking Techniques,Learn to recognize 3 common binary thinking traps and learn the nuanced thinking techniques you can use to combat them.,https://programs.clearerthinking.org/nuanced_thinking_techniques.html
